"","Specimen_Type","Project","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1","Buffy_Coat","BS1001",293,966,0,0,0,0,0,0,0,0,0
"2","Buffy_Coat","BS1101",0,70,47,14,24,10,5,0,0,0,0
"3","Buffy_Coat","BS1103",0,1,631,427,0,0,0,0,0,0,0
"4","Buffy_Coat","BS1202",0,0,178,228,261,328,384,426,379,251,58
"5","Buffy_Coat","BS1402",0,0,0,0,43,58,28,5,0,0,0
"6","Fresh_Tissue","BS1001",402,1400,0,0,0,0,0,0,0,0,0
"7","Fresh_Tissue","BS1101",0,113,147,60,94,87,40,25,21,16,0
"8","Fresh_Tissue","BS1202",0,0,128,207,276,321,444,482,599,417,69
"9","Fresh_Tissue","BS1203",0,0,0,0,37,57,51,60,39,6,24
"10","Fresh_Tissue","BS1701",0,0,0,0,0,0,0,0,0,3,0
"11","Fresh_Tissue","BS1904",0,0,0,0,0,0,0,0,0,0,71
"12","Plasma","BS1001",634,1945,0,0,0,0,0,0,0,0,0
"13","Plasma","BS1101",0,135,153,55,89,48,33,6,0,0,0
"14","Plasma","BS1103",0,10,2480,2086,0,0,0,0,0,0,0
"15","Plasma","BS1202",0,0,626,854,1039,1598,2614,2411,3303,2284,502
"16","Plasma","BS1402",0,0,0,0,184,301,206,27,0,0,0
"17","Serum","BS1001",570,1862,0,0,0,0,0,0,0,0,0
"18","Serum","BS1101",0,145,154,60,91,44,31,6,0,0,0
"19","Serum","BS1103",0,7,2160,1789,0,0,0,0,0,0,0
"20","Serum","BS1202",0,0,560,780,884,1333,2117,2093,2831,1928,431
"21","Serum","BS1402",0,0,0,0,165,272,167,24,0,0,0
